pKey:string, lKey:string, val1:double, val2:integer, val3:integer
s221, ap1093, 2.1625, 0, 0
s239, ap1094, 2.1625, 0, 0
s243, ap1095, 2.1625, 1, 0
s255, ap1096, 2.1625, 1, 0
s361, ap1097, 2.1625, 1, 0
s422, ap1098, 2.1625, 1, 0
s423, ap1099, 2.1625, 1, 0
s424, ap1100, 2.1625, 1, 0
s425, ap1101, 2.1625, 1, 0
s426, ap1102, 2.1625, 1, 0
s427, ap1103, 2.1625, 1, 0
s433, ap1104, 2.1625, 1, 0
s109, ap1105, 2.1625, 1, 0
s114, ap1106, 2.1625, 1, 0
s142, ap1107, 2.1625, 1, 0
s149, ap1108, 2.1625, 1, 0
s221, ap1109, 2.1625, 1, 0
s239, ap1110, 2.1625, 1, 0
s243, ap1111, 2.1625, 1, 0
s255, ap1112, 2.1625, 1, 0
s361, ap1113, 2.1625, 1, 0
s422, ap1114, 2.1625, 1, 0
s423, ap1115, 2.1625, 1, 0
s424, ap1116, 2.1625, 1, 0
s425, ap1117, 2.1625, 1, 0
s426, ap1118, 2.1625, 1, 0
s427, ap1119, 2.1625, 1, 0
s433, ap1120, 2.1625, 1, 0
s109, ap1121, 2.1625, 1, 0
s114, ap1122, 2.1625, 1, 0
s142, ap1123, 2.1625, 1, 0
s149, ap1124, 2.1625, 1, 0
s221, ap1125, 2.1625, 1, 0
s239, ap1126, 2.1625, 1, 0
s243, ap1127, 2.1625, 1, 0
s255, ap1128, 2.1625, 1, 0
s361, ap1129, 2.1625, 1, 0
s422, ap1130, 2.1625, 1, 0
s423, ap1131, 2.1625, 1, 0
s424, ap1132, 2.1625, 1, 0
s425, ap1133, 2.1625, 1, 0
s426, ap1134, 2.1625, 1, 0
s427, ap1135, 2.1625, 1, 0
s433, ap1136, 2.1625, 1, 0
s109, ap1137, 2.1625, 1, 0
s114, ap1138, 2.1625, 1, 0
s142, ap1139, 2.1625, 1, 0
s149, ap1140, 2.1625, 1, 0
s221, ap1141, 2.1625, 1, 0
s239, ap1142, 2.1625, 1, 0
s243, ap1143, 2.1625, 1, 0
s255, ap1144, 2.1625, 1, 0
s361, ap1145, 2.1625, 1, 0
s422, ap1146, 2.1625, 1, 0
s423, ap1147, 2.1625, 1, 0
s424, ap1148, 2.1625, 1, 0
s425, ap1149, 2.1625, 1, 0
s426, ap1150, 2.1625, 1, 0
s427, ap1151, 2.1625, 1, 0
s433, ap1152, 2.1625, 1, 0
s109, ap1153, 2.1625, 1, 0
s114, ap1154, 2.1625, 1, 0
s142, ap1155, 2.1625, 1, 0
s149, ap1156, 2.1625, 1, 0
s221, ap1157, 2.1625, 1, 0
s239, ap1158, 2.1625, 1, 0
s243, ap1159, 2.1625, 1, 0
s255, ap1160, 2.1625, 1, 0
s361, ap1161, 2.1625, 1, 0
s422, ap1162, 2.1625, 1, 0
s423, ap1163, 2.1625, 1, 0
s424, ap1164, 2.1625, 1, 0
s425, ap1165, 2.1625, 1, 0
s426, ap1166, 2.1625, 1, 0
s427, ap1167, 2.1625, 1, 0
s433, ap1168, 2.1625, 1, 0
s109, ap1169, 2.1625, 1, 0
s114, ap1170, 2.1625, 1, 0
s142, ap1171, 2.1625, 1, 0
s149, ap1172, 2.1625, 1, 0
s221, ap1173, 2.1625, 1, 0
s239, ap1174, 2.1625, 1, 0
s243, ap1175, 2.1625, 1, 0
s255, ap1176, 2.1625, 1, 0
s361, ap1177, 2.1625, 1, 0
s422, ap1178, 2.1625, 1, 0
s423, ap1179, 2.1625, 1, 0
s424, ap1180, 2.1625, 1, 0
s425, ap1181, 2.1625, 1, 0
s426, ap1182, 2.1625, 1, 0
s427, ap1183, 2.1625, 1, 0
s433, ap1184, 2.1625, 1, 0
s109, ap1185, 2.7058, 1, 0
s114, ap1186, 2.7058, 1, 0
s142, ap1187, 2.7058, 1, 0
s149, ap1188, 2.7058, 1, 0
s221, ap1189, 2.7058, 1, 0
s239, ap1190, 2.7058, 1, 0
s243, ap1191, 2.7058, 1, 0
s255, ap1192, 2.7058, 1, 0
s361, ap1193, 2.7058, 1, 0
s422, ap1194, 2.7058, 1, 0
s423, ap1195, 2.7058, 1, 0
s424, ap1196, 2.7058, 1, 0
s425, ap1197, 2.7058, 1, 0
s426, ap1198, 2.7058, 1, 0
s427, ap1199, 2.7058, 1, 0
s433, ap1200, 2.7058, 1, 0
