PRODUCTID,LOCATIONID,ZONEID,PRODUCTCATEGORYID,DIVISIONID,SOURCEID,EFFECTIVEDATE,PREVIOUSPRICE,PREVIOUSMULTIPLE,NEWPRICE,NEWMULTIPLE,CURRENTRETAILPRICE,CURRENTRETAILMULTIPLE,OVERRIDEPRICE,OVERRIDEMULTIPLE,COST,COMP1ID,COMP1PRICE,COMP2ID,COMP2PRICE,COMP3ID,COMP3PRICE,VOLUME,REVENUE,GROSSMARGIN,ISLOCKED,RULEEXCEPTION
171742,49,5,201,0,1169,2015-04-19 00:00:00.0,1.3100,1,1.4200,1,1.3100,1,,0,1.1700,0,,0,,0,,82.6977,116.4653,19.7090,0,0
171742,10,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,135.1451,150.4795,-7.6403,0,0
171742,39,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,103.1772,140.3413,19.6240,0,0
171742,48,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,148.7792,202.3690,28.2973,0,0
171742,56,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,97.9609,133.2460,18.6318,0,0
171742,77,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,72.4635,98.5646,13.7823,0,0
171742,80,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,521.7804,709.7241,99.2410,0,0
171742,84,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,236.8572,322.1724,45.0495,0,0
171742,93,6,201,0,1169,2015-04-19 00:00:00.0,1.2900,1,1.3700,1,1.2900,1,,0,1.1700,0,,0,,0,,121.0880,164.7035,23.0305,0,0
171742,47,13,201,0,1169,2015-04-19 00:00:00.0,1.2300,1,1.2900,1,1.2300,1,,0,1.1700,0,,0,,0,,44.3528,57.2151,5.3223,0,0
171742,101,13,201,0,1169,2015-04-19 00:00:00.0,1.2300,1,1.2900,1,1.2300,1,,0,1.1700,0,,0,,0,,103.6518,133.2091,11.9365,0,0
171742,30,14,201,0,1169,2015-04-19 00:00:00.0,1.0800,1,1.1700,1,1.0800,1,,0,1.1700,0,,0,,0,,167.4997,192.8697,-3.1050,0,0
171742,70,20,201,0,1169,2015-04-19 00:00:00.0,1.2300,1,1.2900,1,1.2300,1,,0,1.1700,0,,0,,0,,45.4487,58.4089,5.2339,0,0
171742,82,20,201,0,1169,2015-04-19 00:00:00.0,1.2300,1,1.2900,1,1.2300,1,,0,1.1700,0,,0,,0,,28.0775,36.2200,3.3693,0,0
171808,80,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,928.7971,594.4301,130.0316,0,0
171808,84,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,669.6483,428.5749,93.7508,0,0
171808,93,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,250.3527,160.2257,35.0494,0,0
171808,5,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.6000,1,0.5500,1,,0,0.5000,0,,0,,0,,204.1390,122.4834,20.4139,0,0
171808,47,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.6000,1,0.5500,1,,0,0.5000,0,,0,,0,,204.0294,122.4177,20.4029,0,0
171808,101,13,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.6000,1,0.5500,1,,0,0.5000,0,,0,,0,,473.4496,284.0698,47.3450,0,0
171808,30,14,201,0,1169,2015-04-19 00:00:00.0,0.5200,1,0.5500,1,0.5200,1,,0,0.5000,0,,0,,0,,222.7472,122.2129,10.8393,0,0
171808,2,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5900,1,0.5500,1,,0,0.5000,0,,0,,0,,142.0749,83.8242,12.7867,0,0
171808,70,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5900,1,0.5500,1,,0,0.5000,0,,0,,0,,276.4601,163.1115,24.8814,0,0
171808,82,20,201,0,1169,2015-04-19 00:00:00.0,0.5500,1,0.5900,1,0.5500,1,,0,0.5000,0,,0,,0,,201.9570,119.1546,18.1761,0,0
171808,55,5,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,158.5634,101.4806,22.1989,0,0
171808,10,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,187.0769,119.7292,26.1908,0,0
171808,39,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,174.7066,111.8122,24.4589,0,0
171808,48,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,230.5843,147.5740,32.2818,0,0
171808,54,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,68.0657,40.5658,6.5330,0,0
171808,77,6,201,0,1169,2015-04-19 00:00:00.0,0.6100,1,0.6400,1,0.6100,1,,0,0.5000,0,,0,,0,,88.8144,56.8412,12.4340,0,0
239507,80,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,340.4470,483.4348,149.7967,0,0
239507,84,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,363.0659,515.5536,159.7490,0,0
239507,93,6,201,0,1169,2015-04-19 00:00:00.0,1.3800,1,1.4200,1,1.3800,1,,0,0.9800,0,,0,,0,,254.5894,361.5170,112.0194,0,0
